crop,state,rawmaterial,d
Banana,orissa,sulphur,200
Banana,orissa,zinc,200
Tobacco,karnataka,mg,100
Tobacco,karnataka,sulphur,100
Sunflower,westbengal,superphosphate,400
Sunflower,westbengal,potash,400
Sugarcane,chattisgarh,DAP,450
Sugarcane,chattisgarh,gypsum,450
Rice,andhrapradesh,urea,20
Rice,andhrapradesh,potash,20
Ragi,tamilnadu,superphosphate,120
Ragi,tamilnadu,mg,120
Jowar,up,zinc,550
Jowar,up,urea,550
Bajra,assam,urea,650
Bajra,assam,DAP,650
Potato,kerala,DAP,300
Potato,kerala,sulphur,300
Turmeric,gujarat,gypsum,430
Turmeric,gujarat,urea,430
Maize,delhi,urea,600
Maize,delhi,potash,600
Onion,maharastra,zinc,380
Onion,maharastra,superphosphate,380
Coconut,bihar,urea,700
Coconut,bihar,DAP,700
Groundnut,telangana,gypsum,80
Groundnut,telangana,sulphur,80
Drychillies,arunachalpradesh,sulphur,780
Drychillies,arunachalpradesh,superphosphate,780
